"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Oct-2025","RR","114.60","116.16","113.90","113.90","115.26","115.33","114.97","120.00","103.00","3,21,216","3,69,31,533.25","4,168"
"24-Oct-2025","RR","115.95","115.95","113.52","115.69","113.94","113.90","114.32","120.00","103.00","5,02,667","5,74,63,605.38","16,431"
"23-Oct-2025","RR","119.39","119.39","115.10","117.97","115.64","115.69","116.19","120.00","103.00","6,91,299","8,03,20,895.14","20,967"
"21-Oct-2025","RR","117.59","118.29","117.11","117.01","118.00","117.97","117.77","120.00","103.00","53,847","63,41,376.43","887"
"20-Oct-2025","RR","116.50","117.25","116.15","116.35","117.25","117.01","116.80","120.00","103.00","91,137","1,06,44,703.51","1,254"
"17-Oct-2025","RR","117.49","117.49","116.01","116.98","116.75","116.35","116.55","120.00","103.00","1,60,930","1,87,57,116.42","1,410"
"16-Oct-2025","RR","117.40","117.40","116.06","116.47","117.25","116.98","116.81","120.00","103.00","6,66,068","7,78,06,054.36","1,901"
"15-Oct-2025","RR","116.90","117.50","115.50","115.86","116.75","116.47","116.74","120.00","103.00","2,15,536","2,51,61,736.62","2,054"
"14-Oct-2025","RR","116.90","117.50","115.50","116.45","115.99","115.86","116.90","120.00","103.00","3,67,305","4,29,38,786.02","2,871"
"13-Oct-2025","RR","117.60","117.80","116.08","117.10","116.69","116.45","116.85","120.00","103.00","2,51,306","2,93,66,316.90","1,556"
"10-Oct-2025","RR","118.50","118.50","116.60","118.00","117.00","117.10","117.32","120.00","103.00","3,08,628","3,62,08,698.68","2,920"
"09-Oct-2025","RR","118.79","118.90","117.84","118.02","118.00","118.00","118.61","120.00","103.00","5,94,840","7,05,54,821.45","4,081"
"08-Oct-2025","RR","118.00","118.90","117.60","116.94","118.20","118.02","118.12","120.00","103.00","4,88,946","5,77,53,019.30","3,426"
"07-Oct-2025","RR","116.00","118.90","115.77","115.64","116.98","116.94","117.16","120.00","103.00","26,66,671","31,24,31,383.68","4,554"
"06-Oct-2025","RR","119.60","119.60","115.02","118.81","115.70","115.64","118.05","120.00","103.00","24,29,615","28,68,13,097.74","5,567"
"03-Oct-2025","RR","119.95","120.00","118.25","118.68","118.55","118.81","119.01","120.00","103.00","5,79,692","6,89,89,231.39","3,490"
"01-Oct-2025","RR","116.80","119.51","116.10","115.38","119.00","118.68","118.11","119.51","103.00","6,63,767","7,83,97,651.99","4,356"
"30-Sep-2025","RR","114.89","116.65","114.41","114.02","116.00","115.38","115.26","116.65","103.00","9,96,958","11,49,10,360.62","4,787"
"29-Sep-2025","RR","113.81","115.40","113.55","113.81","113.81","114.02","114.65","115.49","103.00","5,37,797","6,16,56,207.43","2,909"
"26-Sep-2025","RR","114.05","115.49","113.06","114.05","113.75","113.81","113.98","115.49","103.00","16,40,058","18,69,35,978.45","10,810"
"25-Sep-2025","RR","114.00","114.89","113.50","113.67","114.15","114.05","114.06","114.89","103.00","6,86,623","7,83,18,891.03","6,464"
"24-Sep-2025","RR","113.50","114.25","112.92","113.00","113.79","113.67","113.68","114.25","103.00","6,55,962","7,45,70,634.77","3,364"
"23-Sep-2025","RR","113.50","113.50","112.70","113.02","112.89","113.00","113.05","113.50","103.00","3,46,784","3,92,03,363.24","2,031"
