distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period)
0.16,65,27,13.6,1,10,68,14,29.88
0.298291721,54,27,25.1,2,10,64,38,29.89
0.511343805,47,20,8.7,4,10,69,11,30.14
0.148816234,67,29,10.7,0,10,70,5,29.83
0.166453265,63,27,13.9,4,10,75,10,29.93
0.69595537,55,18,8.2,4,6,93,5,30.04
0.504118616,69,14,5,1,10,27,0,30.05
0.610148515,65,30,8.6,4,10,87,6,29.82
1.136125654,47,13,3.6,4,10,77,6,29.89
0.124437781,56,15,9.4,4,4,93,7,29.99
0.308228731,55,18,8.2,4,10,75,13,30.11
0.060225847,61,27,8.1,1,10,59,18,29.95
0.175384615,68,29,4.6,0,10,68,7,30.06
0.20713073,56,29,7.2,4,9,80,11,30.09
0.34039548,65,29,6.9,2,10,53,18,29.97
1.006462036,51,28,5,1,10,93,13,30.18
0.3145917,62,29,10.1,1,10,68,21,29.94
0.560726447,61,27,15.1,4,10,78,8,29.98
0.167123288,63,27,14.4,2,10,70,10,29.99
0.367346939,61,20,8.1,4,10,90,0,30.08
0.086770982,67,27,9.5,3,10,62,17,29.97
0.28875,69,30,3.9,0,10,43,5,30.02
0.407027818,59,14,9.9,4,9,90,23,29.87
0.440414508,46,4,4.2,4,10,68,0,30.2
0.662337662,52,27,7.3,3,10,72,10,30.13
0.644314869,57,19,20.8,3,10,87,17,29.91
0.207011686,57,27,6.6,3,10,78,11,30.22
0.057627119,63,26,16.3,2,10,57,25,29.98
1.141114983,46,21,8.9,2,10,89,5,29.87
0.464932127,62,26,11.2,4,10,81,9,29.93
0.761415525,58,27,11.8,4,10,83,11,29.98
0.131045242,49,22,7.7,3,9,83,8,30.16
0.059945504,49,29,22.1,2,10,54,26,30.21
0.664036077,63,27,23.3,1,10,78,30,29.71
0.384136858,58,29,10.4,1,10,65,15,30.14
0.150112867,70,30,11.6,0,10,56,6,29.87
0.323328786,65,28,10.3,3,10,75,15,30.01
0.394904459,56,27,17.5,2,10,86,9,30.26
0.404669261,62,29,6.4,0,10,59,3,30.03
0.559274756,55,18,8.2,3,10,80,8,30.13
0.256526674,61,27,15.1,1,10,63,21,30.02
0.594632768,65,29,6.9,1,10,68,15,29.99
0.119186047,54,20,17.3,3,8,90,11,29.95
0.765625,59,23,3.5,0,10,39,0,30.04
0.51375,69,30,3.9,1,10,40,15,30.01
0.073333333,61,29,9,2,10,61,16,29.89
0.17080292,57,29,17.6,1,10,42,17,30
0.680981595,51,15,12.6,4,10,80,13,29.52
0.149466192,58,28,16.8,1,10,60,15,29.98
0.18989547,45,12,1.3,3,10,71,5,30.37
0.470588235,55,14,2.5,0,6,42,0,30.25
0.343794579,65,19,8.5,4,10,65,9,29.77
0.818815331,47,28,21.1,1,10,68,20,29.91
0.274325909,58,29,12.9,2,10,65,24,29.89
0.799519808,61,20,8.1,3,10,93,7,30.08
0.156682028,62,30,13.7,1,10,68,8,30.02
0.168275862,69,29,8.7,0,9,73,5,29.99
0.057692308,62,26,11.2,3,10,65,14,29.93
0.490909091,66,30,9.3,3,10,87,13,30
0.952167414,57,17,14.6,4,6,90,14,30.13
0.670196672,54,32,1.3,3,10,80,0,30.18
0.742808799,56,13,3.2,1,10,80,0,30.14
1.025117739,65,15,13,3,10,63,13,30
0.825042882,56,28,6.9,1,10,86,5,30.16
0.554678692,63,32,7.9,1,10,90,7,29.79
0.503045067,53,27,14.5,1,10,66,13,30.14
1.054700855,56,8,6.9,1,10,53,10,30.39
0.43728223,47,29,4.9,0,10,74,8,30.17
0.257046223,61,28,15.4,1,10,58,22,29.88
0.803867403,58,29,8,2,10,77,8,30.05
0.359589041,62,28,13.3,3,10,83,7,30
0.987341772,55,32,5.3,3,10,83,9,29.85
0.853503185,56,27,17.5,4,10,96,17,30.24
0.207419899,54,15,2.7,3,4,80,5,30.03
0.694736842,71,30,6.4,0,10,61,0,29.88
1.057591623,43,29,8.4,1,10,63,10,30.04
0.851274788,66,29,7.8,3,10,84,9,29.95
0.062005277,56,27,19.3,0,10,52,25,30
0.685157421,56,15,9.4,4,10,83,7,29.99
0.493444577,59,27,16.8,1,10,69,26,30.07
0.266984505,66,27,12,1,10,55,21,29.99
0.171851852,65,29,4.9,0,10,63,5,30.18
0.256849315,61,28,14.6,2,10,63,21,29.98
0.565068493,62,28,13.3,3,10,93,7,29.99
0.672727273,62,27,8.6,3,10,81,9,29.94
1.112227806,55,28,6.6,0,10,83,8,30.11
1.038461538,55,13,1.5,0,10,74,0,30.15
0.802647413,59,23,9.8,4,10,93,10,30.13
0.3640553,62,30,13.7,1,10,83,6,30.03
0.671264368,60,30,13,1,10,90,14,30.03
0.44605475,54,32,1.9,0,10,29,5,30.17
0.275294118,58,27,16.6,3,10,43,28,30.08
0.730103806,50,33,4.9,3,10,86,9,30.07
0.533420708,51,28,18,0,10,69,18,29.95
0.37962963,60,29,11.3,1,9,78,15,30.03
0.687086093,64,9,1.2,0,7,87,0,30.11
0.466555184,55,13,1.5,2,10,52,5,30.04
0.056441718,65,30,11.1,1,10,53,14,29.9
0.419062027,54,32,1.3,4,10,58,0,30.07
0.503484321,45,12,1.3,3,10,66,0,30.36
0.405247813,57,19,20.8,2,10,67,33,29.89
0.358361775,64,28,17.7,1,10,72,13,29.95
0.086956522,58,27,10.2,4,10,81,7,30.06
0.787348587,57,27,15.7,0,9,83,20,29.99
0.683109118,57,17,14.6,4,8,87,16,30.09
0.857346648,65,19,8.5,4,3,90,13,29.75
0.349887133,62,27,11.2,4,10,70,8,29.95
0.537037037,57,27,12.6,2,10,62,31,29.97
0.706845238,68,29,6.4,0,10,66,3,30.04
0.921787709,66,29,9.1,1,10,90,10,29.95
0.378443114,66,27,12.9,3,10,78,9,30.02
0.063679245,56,27,19,2,10,48,23,30.06
0.552812071,54,27,15.6,2,10,83,14,29.9
0.662528217,70,30,11.6,1,10,81,11,29.81
0.500606061,55,27,12,4,10,64,20,30.1
0.639107612,64,31,5.8,4,10,87,5,29.75
0.397881997,54,32,1.3,3,10,86,3,30.18
0.561059908,56,28,10.6,4,9,86,7,29.97
0.670988655,55,28,8.5,1,10,90,5,30.02
0.337552743,62,28,8.4,2,10,68,15,29.95
0.799725652,54,27,15.6,2,10,86,11,29.91
0.83625,69,30,3.9,0,10,75,0,30.07
1.140869565,49,29,15.9,3,10,63,10,29.92
0.439446367,51,25,10.3,4,4,96,10,29.95
0.29040404,49,28,20.5,1,10,57,30,30.11
0.162064826,64,27,16.1,2,10,65,11,30.07
1.135972461,54,6,7.4,0,9,77,0,30.08
0.098639456,53,24,3.9,4,10,83,3,30.3
1.001531394,68,29,4.9,0,10,67,5,30.01
0.306982872,63,21,10.5,1,10,68,20,29.74
0.822525597,57,12,2.8,0,10,70,0,30.11
0.355605889,64,29,12.3,4,10,75,0,29.87
